,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,0000066740,1902,0.94992,3.49429,1.83487,0.0,5.92,2021-05-20 00:00:00.000,1.48,2021-06-12 00:00:00.000,2.93,0.0,14.56191,23.14214,9.79557,48.88713,48.68325,208.95,17.16239,144.6,122.2311,117013.2,578.9692,18.37081,17.36954,22.40425,22.66687,8.50387,15.28386,20.60727,1.415149,3.55016,1.30181,12.26015,47.81863,15.11252,3.12245,1.89193,0.0,579675002.0,0.0,0.0,MMM,56.80775,132.173,1963090.0,1963090.0,50572530.0
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,1888,0.68261,5.14435,1.75068,0.0,1.8,2021-04-14 00:00:00.000,0.45,2021-05-17 00:00:00.000,1.54,0.0,61.12606,227.5858,3.21063,57.9189,56.90717,128.54,16.61417,86.16,52.10953,208118.9,1763.987,17.14805,15.38915,20.17024,18.1397,6.20103,22.67338,36.48194,0.596831,5.57392,1.31841,8.23433,18.01819,9.91912,0.0,16.33588,0.0,1776820148.0,0.0,0.0,ABT,35.31169,54.95501,4055917.0,4055920.0,106201280.0
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),0.79819,24.76406,0.83155,0.0,5.2,2021-04-14 00:00:00.000,1.3,2021-05-14 00:00:00.000,4.48,0.0,0.0,6.53289,2.83181,67.77863,64.86303,118.28,6.70681,79.1101,541.0868,205093.7,1764.023,27.32513,10.29385,31.53728,23.63383,14.95469,15.42754,41.00558,0.0,4.08594,0.72915,4.27555,161.525,5.34734,0.0,47.38527,0.0,1766222336.0,0.0,0.0,ABBV,86.16504,623.8512,6380866.0,6380870.0,147932880.0
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,0000815094,1981,1.30559,27.67537,6.10972,0.0,0.0, ,0.0, ,0.0,0.0,11.48706,77.53792,4.93687,80.89999,80.89645,387.4,0.0,194.13,0.0,12664.67,44.24031,23.56764,26.6099,26.03318,27.08564,9.53306,68.1116,56.7161,4.93739,14.94316,5.48121,16.63887,18.83188,18.41045,4.13661,0.78977,0.0,45270948.0,0.0,0.0,ABMD,0.0,0.0,298736.0,298740.0,5963640.0
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,1.0961,23.20333,1.3882,0.0,3.52,2021-04-14 00:00:00.000,0.88,2021-05-14 00:00:00.000,1.24,0.0,9.7694,15.08336,8.45108,29.74185,31.66318,294.5,3210.709,191.13,0.32403,188480.2,663.7549,12.09032,12.1322,13.67884,14.89073,9.8469,29.78117,33.53181,3.432331,4.12638,0.0,15.08151,32.30813,23.46154,2.77108,2.28657,0.0,665114728.0,0.0,0.0,ACN,0.3615,0.3734,1713151.0,1713150.0,44076200.0
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,2008,0.60243,12.07372,3.43351,0.0,0.47,2021-04-14 00:00:00.000,0.47,2021-05-06 00:00:00.000,0.49,0.0,46.69025,21.16637,2.96505,74.59341,72.78666,104.53,30.55556,66.592,23.52097,74104.09,770.7347,27.20879,26.96839,34.94505,33.66383,4.83285,26.86878,32.16472,0.688896,8.64389,0.0,10.74624,16.30926,12.40077,0.0,32.87353,0.0,777016759.0,0.0,0.0,ATVI,19.04209,23.52097,5500015.0,5500010.0,128862370.0
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,0.95507,14.5094,1.27179,0.0,0.0, ,0.0, ,0.0,0.0,74.3451,33.40879,11.51593,88.55314,87.45067,536.88,58.16,361.44,30.4075,233297.5,475.8986,32.29193,40.68119,37.23431,34.74638,17.25864,36.85002,42.38216,0.570073,17.05141,0.0,24.09576,46.36208,31.65648,14.0479,17.32774,0.0,478000000.0,0.0,0.0,ADBE,23.31729,30.4075,1910081.0,1910080.0,53991160.0
AMD,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",0000002488,1969,,2.0403,0.0,2.51292,0.0,0.0, ,0.0, ,0.0,0.0,474.4751,232.4362,2.35575,46.06676,44.79075,99.23,73.11111,48.42,4.83248,93763.17,1208.679,16.05225,25.17948,18.80987,15.63649,14.47608,29.16428,32.75814,0.069041,8.209,1.93575,36.15109,60.60542,51.99783,6.19605,57.65355,0.0,1215020976.0,0.0,0.0,AMD,4.60972,4.83248,46174068.0,46174070.0,977032770.0
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,0001158449,1932,1.36788,9.83051,1.32169,0.0,4.0,2021-06-17 00:00:00.000,1.0,2021-07-02 00:00:00.000,2.05,0.0,4.52741,19.68387,7.14471,45.88456,44.37594,210.18,17.80357,130.07,29.02038,12755.28,65.1666,4.73534,4.87834,6.41935,6.94501,3.63432,17.16491,27.28452,6.026518,1.26211,0.36506,4.27077,13.87113,7.11094,0.0,4.09227,0.0,65431834.0,0.0,0.0,AAP,22.49287,29.02038,884550.0,884550.0,18064310.0
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,0.80179,0.0,1.24218,0.0,0.602,2021-04-29 00:00:00.000,0.1505,2021-05-14 00:00:00.000,2.37,0.0,0.0,0.0,0.0,25.19924,28.62308,29.07,3.85802,11.965,544.2405,16896.29,664.1634,0.03795,0.42181,6.29981,10.72612,7.2392,15.12649,0.0,0.0,1.69693,1.15336,0.12113,0.0,0.15995,2.92969,0.80996,0.0,666257334.0,0.0,0.0,AES,74.79406,588.8066,6102853.0,6102850.0,139012740.0
